FIPS,Common State Abbreviation,Rural Status Description,HPSA Postal Code,Provider Type,Common County Name,HPSA Degree of Shortage,HPSA Designation Population,HPSA Estimated Served Population,HPSA Score,HPSA Shortage
78020,VI,Rural,,,"St. John, VI",Not applicable,57514.0,,0,
78030,VI,Rural,,,"St. Thomas, VI",Not applicable,57514.0,,0,
78030,VI,Rural,00802-1736,,"St. Thomas, VI",,,,15,0.0
78010,VI,Rural,00840,,"St. Croix, VI",,,,22,0.0
78030,VI,Rural,,Psychiatrist / Core Mental Health,"St. Thomas, VI",Not applicable,50153.0,33660.0,14,3.67
78010,VI,Rural,,Psychiatrist / Core Mental Health,"St. Croix, VI",Not applicable,49989.0,27810.0,19,4.93
78020,VI,,,Psychiatrist / Core Mental Health,"St. John, VI",Not applicable,4359.0,0.0,8,0.15
72021,PR,Non-Rural,00961,,"Bayamo'n Municipio, PR",,,,17,
72025,PR,Non-Rural,00726-1025,,"Caguas Municipio, PR",,1.0,,17,0.0
72127,PR,Non-Rural,00915-3823,,"San Juan Municipio, PR",,,,17,0.0
72087,PR,Non-Rural,00772,,"Loiza Municipio, PR",,,,18,0.0
72135,PR,Non-Rural,00953,,"Toa Alta Municipio, PR",,,,0,0.0
72063,PR,Non-Rural,00778-1277,,"Gurabo Municipio, PR",,,,15,0.0
72101,PR,Non-Rural,00687-3021,,"Morovis Municipio, PR",,,,16,0.0
72141,PR,Non-Rural,00641,,"Utuado Municipio, PR",,,,21,0.0
72017,PR,Non-Rural,00617,,"Barceloneta Municipio, PR",,,,14,0.0
72054,PR,Non-Rural,00650-1913,,"Florida Municipio, PR",,,,21,0.0
72065,PR,Non-Rural,00659-1843,,"Hatillo Municipio, PR",,,,20,0.0
72039,PR,Non-Rural,00638,,"Ciales Municipio, PR",,,,12,0.0
72097,PR,Non-Rural,00680,,"Mayaguez Municipio, PR",,,,19,0.0
72117,PR,Non-Rural,00677-2127,,"Rincon Municipio, PR",,,,19,0.0
72027,PR,Non-Rural,00627-2630,,"Camuy Municipio, PR",,,,15,0.0
72109,PR,Non-Rural,00723,,"Patillas Municipio, PR",,,,19,0.0
72127,PR,Non-Rural,00907-5104,,"San Juan Municipio, PR",,,,18,0.0
72113,PR,Non-Rural,00716-1115,,"Ponce Municipio, PR",,,,14,0.0
72081,PR,Rural,00631,,"Lares Municipio, PR",,,,17,0.0
72105,PR,Non-Rural,00719,,"Naranjito Municipio, PR",,,,17,0.0
72015,PR,Non-Rural,00714,,"Arroyo Municipio, PR",,,,5,0.0
72041,PR,Non-Rural,00739-3420,,"Cidra Municipio, PR",,,,15,0.0
72139,PR,Non-Rural,,,"Trujillo Alto Municipio, PR",Not applicable,263071.0,,0,4.3
72031,PR,,,,"Carolina Municipio, PR",Not applicable,263071.0,,0,4.3
72143,PR,,,,"Vega Alta Municipio, PR",Not applicable,97229.0,,0,2.7
72145,PR,Non-Rural,,,"Vega Baja Municipio, PR",Not applicable,97229.0,,0,2.7
72137,PR,Non-Rural,,,"Toa Baja Municipio, PR",Not applicable,215499.0,,0,6.2
72135,PR,Non-Rural,,,"Toa Alta Municipio, PR",Not applicable,215499.0,,0,6.2
72033,PR,Partially Rural,,,"Catano Municipio, PR",Not applicable,215499.0,,0,6.2
72051,PR,Non-Rural,,,"Dorado Municipio, PR",Not applicable,215499.0,,0,6.2
72054,PR,Non-Rural,,,"Florida Municipio, PR",Not applicable,207264.0,,0,3.6
72013,PR,Non-Rural,,,"Arecibo Municipio, PR",Not applicable,207264.0,,0,3.6
72017,PR,Non-Rural,,,"Barceloneta Municipio, PR",Not applicable,207264.0,,0,3.6
72073,PR,Rural,,,"Jayuya Municipio, PR",Not applicable,207264.0,,0,3.6
72141,PR,Partially Rural,,,"Utuado Municipio, PR",Not applicable,207264.0,,0,3.6
72001,PR,Rural,,,"Adjuntas Municipio, PR",Not applicable,207264.0,,0,3.6
72059,PR,Non-Rural,,,"Guayanilla Municipio, PR",Not applicable,132247.0,,0,3.6
72153,PR,Partially Rural,,,"Yauco Municipio, PR",Not applicable,132247.0,,0,3.6
72121,PR,Non-Rural,,,"Sabana Grande Municipio, PR",Not applicable,132247.0,,0,3.6
72111,PR,Non-Rural,,,"Penuelas Municipio, PR",Not applicable,132247.0,,0,3.6
72055,PR,,,,"Guanica Municipio, PR",Not applicable,132247.0,,0,3.6
72015,PR,Non-Rural,,,"Arroyo Municipio, PR",Not applicable,96305.0,,0,0.0
72095,PR,Partially Rural,,,"Maunabo Municipio, PR",Not applicable,96305.0,,0,0.0
72109,PR,Non-Rural,,,"Patillas Municipio, PR",Not applicable,96305.0,,0,0.0
72057,PR,Non-Rural,,,"Guayama Municipio, PR",Not applicable,96305.0,,0,0.0
72115,PR,Non-Rural,,,"Quebradillas Municipio, PR",Not applicable,169525.0,,0,0.0
72099,PR,Non-Rural,,,"Moca Municipio, PR",Not applicable,169525.0,,0,0.0
72071,PR,Non-Rural,,,"lsabela Municipio, PR",Not applicable,169525.0,,0,0.0
