,FIPS,properties.addressLine3
0,47037,NASHVILLE
1,47037,NASHVILLE
2,47037,NASHVILLE
3,47037,NASHVILLE
4,47037,NASHVILLE
5,47037,NASHVILLE
6,47037,NASHVILLE
7,47037,NASHVILLE
8,47037,NASHVILLE
9,47037,NASHVILLE
10,47037,NASHVILLE
11,47037,NASHVILLE
12,47037,NASHVILLE
13,47037,NASHVILLE
14,47037,NASHVILLE
15,47037,NASHVILLE
16,47037,NASHVILLE
17,47037,NASHVILLE
18,47037,MADISON
19,47187,BRENTWOOD
20,47037,BRENTWOOD
21,47037,NASHVILLE
22,47037,NASHVILLE
23,47037,NASHVILLE
24,47037,HERMITAGE
25,47037,OLD HICKORY
26,47037,ANTIOCH
27,47037,HERMITAGE
28,47037,ANTIOCH
29,47037,GOODLETTSVILLE
30,47037,HERMITAGE
31,47037,NASHVILLE
32,47037,BRENTWOOD
33,47037,JOELTON
34,47187,FRANKLIN
35,47037,GOODLETTSVILLE
36,47165,HENDERSONVILLE
37,47187,FRANKLIN
38,47165,HENDERSONVILLE
39,47149,LA VERGNE
40,47149,LA VERGNE
41,47189,MOUNT JULIET
42,47189,MT JULIET
43,47165,HENDERSONVILLE
44,47189,MT JULIET
45,47187,FRANKLIN
46,47187,FRANKLIN
47,47021,ASHLAND CITY
48,47149,SMYRNA
49,47149,SMYRNA
50,47149,SMYRNA
51,47189,LEBANON
52,47165,GALLATIN
53,47187,FAIRVIEW
54,47147,WHITE HOUSE
55,47147,SPRINGFIELD
56,47147,SPRINGFIELD
57,47165,GALLATIN
58,47043,WHITE BLUFF
59,47189,LEBANON
60,47187,SPRING HILL
61,47149,MURFREESBORO
62,47189,LEBANON
63,47149,MURFREESBORO
64,47149,MURFREESBORO
65,47149,MURFREESBORO
66,47119,SPRING HILL
67,47119,SPRING HILL
68,47149,MURFREESBORO
69,47149,MURFREESBORO
70,47149,MURFREESBORO
71,47149,MURFREESBORO
72,47043,DICKSON
73,47149,MURFREESBORO
74,47165,PORTLAND
75,47043,DICKSON
76,47149,MURFREESBORO
77,47125,CLARKSVILLE
78,47119,COLUMBIA
79,47125,CLARKSVILLE
80,21213,FRANKLIN
81,47119,COLUMBIA
82,47169,HARTSVILLE
83,47149,CHRISTIANA
84,47043,DICKSON
85,47119,COLUMBIA
86,47125,CLARKSVILLE
87,47125,CLARKSVILLE
88,21213,FRANKLIN
89,47081,CENTERVILLE
90,47125,CLARKSVILLE
91,47125,CLARKSVILLE
92,47015,WOODBURY
93,47159,GORDONSVILLE
94,47159,CARTHAGE
95,47119,MT PLEASANT
96,47125,CLARKSVILLE
97,21141,RUSSELLVILLE
98,47117,LEWISBURG
99,47111,LAFAYETTE
100,47003,SHELBYVILLE
101,21047,OAK GROVE
102,21047,OAK GROVE
103,21003,SCOTTSVILLE
104,47041,SMITHVILLE
105,47085,WAVERLY
106,21227,BOWLING GREEN
107,47117,CORNERSVILLE
108,21227,BOWLING GREEN
109,21227,BOWLING GREEN
110,47101,HOHENWALD
111,47085,HURRICANE MILLS
112,21227,BOWLING GREEN
113,21227,BOWLING GREEN
114,21227,BOWLING GREEN
115,21047,HOPKINSVILLE
116,47031,TULLAHOMA
117,47031,MANCHESTER
118,21227,BOWLING GREEN
119,21047,HOPKINSVILLE
120,47177,MCMINNVILLE
121,47141,BAXTER
122,47161,DOVER
123,47055,PULASKI
124,47099,LAWRENCEBURG
125,21227,SMITH'S GROVE
126,47141,COOKEVILLE
127,47103,FAYETTEVILLE
128,47141,COOKEVILLE
129,21171,TOMPKINSVILLE
130,21221,CADIZ
131,21031,MORGANTOWN
132,47141,ALGOOD
133,47185,SPARTA
134,47005,CAMDEN
135,21009,GLASGOW
136,47051,WINCHESTER
137,21177,GREENVILLE
138,47181,WAYNESBORO
139,01083,ARDMORE
140,21177,CENTRAL CITY
141,21009,CAVE CITY
142,47061,MONTEAGLE
143,47039,PARSONS
144,47133,LIVINGSTON
145,47079,PARIS
146,21169,EDMONTON
147,21099,HORSE CAVE
148,21183,BEAVER DAM
149,21107,MADISONVILLE
150,01089,MERIDIANVILLE
151,01089,HARVEST
152,21033,PRINCETON
153,21035,MURRAY
154,21107,MADISONVILLE
155,21099,MUNFORDVILLE
156,47017,HUNTINGDON
157,47077,WILDERSVILLE
158,01083,ATHENS
159,01089,HUNTSVILLE
160,01083,ATHENS
161,21085,LEITCHFIELD
162,47153,DUNLAP
163,47017,MCKENZIE
164,01077,ROGERSVILLE
165,01089,HUNTSVILLE
166,21143,EDDYVILLE
167,01089,MADISON
168,01089,HUNTSVILLE
169,47007,PIKEVILLE
170,47077,LEXINGTON
171,01089,HUNTSVILLE
172,01089,HUNTSVILLE
173,47115,KIMBALL
174,47035,CROSSVILLE
175,21053,ALBANY
176,01077,KILLEN
177,21157,BENTON
178,01083,MADISON
179,01089,HUNTSVILLE
180,21157,BENTON
181,21233,PROVIDENCE
182,01089,HUNTSVILLE
183,47035,CROSSVILLE
184,01089,MADISON
185,01077,FLORENCE
186,47115,JASPER
187,01077,FLORENCE
188,21157,CALVERT CITY
189,47071,SAVANNAH
190,01071,STEVENSON
191,01077,FLORENCE
192,01089,OWENS CROSS RDS
193,21001,COLUMBIA
194,01077,FLORENCE
195,01089,HUNTSVILLE
196,47049,JAMESTOWN
197,21087,GREENSBURG
198,01103,DECATUR
199,01033,SHEFFIELD
200,47183,DRESDEN
201,47065,SIGNAL MOUNTAIN
202,01103,DECATUR
203,21055,MARION
204,01033,MUSCLE SHOALS
205,47143,DAYTON
206,47065,SODDY-DAISY
207,21083,MAYFIELD
208,01103,DECATUR
209,21059,OWENSBORO
210,47065,RED BANK
211,47053,MILAN
212,01033,TUSCUMBIA
213,01033,TUSCUMBIA
214,47065,CHATTANOOGA
215,21059,OWENSBORO
216,47065,CHATTANOOGA
217,21059,OWENSBORO
218,01103,DECATUR
219,21093,GLENDALE
220,47065,CHATTANOOGA
221,47183,GREENFIELD
222,01071,SCOTTSBORO
223,47143,SPRING CITY
224,21059,OWENSBORO
225,47065,HIXSON
226,21027,HARDINSBURG
227,21123,HODGENVILLE
228,21059,OWENSBORO
229,47065,CHATTANOOGA
230,13083,TRENTON
231,21207,RUSSELL SPRINGS
232,47023,HENDERSON
233,47053,MEDINA
234,21217,CAMPBELLSVILLE
235,21093,ELIZABETHTOWN
236,47065,CHATTANOOGA
237,47113,JACKSON
238,21145,PADUCAH
239,47065,CHATTANOOGA
240,47183,MARTIN
241,47065,CHATTANOOGA
242,01079,MOULTON
243,21093,ELIZABETHTOWN
244,01103,HARTSELLE
245,21231,MONTICELLO
246,47065,CHATTANOOGA
247,47113,JACKSON
248,21075,FULTON
249,47065,EAST RIDGE
250,21145,PADUCAH
251,21093,ELIZABETHTOWN
252,47113,JACKSON
253,13047,FORT OGLETHORPE
254,47065,CHATTANOOGA
255,21093,ELIZABETHTOWN
256,47121,DECATUR
257,47053,TRENTON
258,47113,JACKSON
259,47145,ROCKWOOD
