FIPS,State,Area_Name,POVALL_2017,MEDHHINC_2017,PCTPOV04_2017
0,US,United States,"42,583,651","60,336",20.2
1000,AL,Alabama,"802,263","48,193",27.7
1001,AL,Autauga County,"7,390","58,343",
1003,AL,Baldwin County,"21,199","56,607",
1005,AL,Barbour County,"7,414","32,490",
1007,AL,Bibb County,"4,137","45,795",
1009,AL,Blount County,"7,343","48,253",
1011,AL,Bullock County,"2,956","29,113",
1013,AL,Butler County,"4,154","36,842",
1015,AL,Calhoun County,"19,832","45,937",
1017,AL,Chambers County,"6,036","36,883",
1019,AL,Cherokee County,"4,381","44,842",
1021,AL,Chilton County,"7,303","46,405",
1023,AL,Choctaw County,"3,031","36,711",
1025,AL,Clarke County,"5,541","36,719",
1027,AL,Clay County,"2,363","39,642",
1029,AL,Cleburne County,"2,365","45,480",
1031,AL,Coffee County,"7,954","51,998",
1033,AL,Colbert County,"8,324","46,100",
1035,AL,Conecuh County,"2,939","30,796",
1037,AL,Coosa County,"1,823","42,442",
1039,AL,Covington County,"6,447","39,093",
1041,AL,Crenshaw County,"2,722","38,419",
1043,AL,Cullman County,"11,256","45,925",
1045,AL,Dale County,"8,528","42,572",
1047,AL,Dallas County,"10,796","31,329",
1049,AL,DeKalb County,"13,785","39,906",
1051,AL,Elmore County,"9,151","59,652",
1053,AL,Escambia County,"7,971","37,870",
1055,AL,Etowah County,"18,257","41,791",
1057,AL,Fayette County,"3,146","39,394",
1059,AL,Franklin County,"6,394","41,025",
1061,AL,Geneva County,"5,659","38,561",
1063,AL,Greene County,"2,752","28,108",
1065,AL,Hale County,"3,654","34,905",
1067,AL,Henry County,"2,882","48,094",
1069,AL,Houston County,"17,095","44,753",
1071,AL,Jackson County,"8,539","42,658",
1073,AL,Jefferson County,"107,752","50,731",
1075,AL,Lamar County,"2,570","39,796",
1077,AL,Lauderdale County,"12,395","46,646",
1079,AL,Lawrence County,"5,494","42,912",
1081,AL,Lee County,"27,901","51,372",
1083,AL,Limestone County,"10,830","57,342",
1085,AL,Lowndes County,"2,585","33,130",
1087,AL,Macon County,"5,213","30,849",
1089,AL,Madison County,"44,979","62,750",
1091,AL,Marengo County,"4,356","37,469",
1093,AL,Marion County,"5,582","38,049",
1095,AL,Marshall County,"18,873","42,751",
1097,AL,Mobile County,"80,116","45,615",
1099,AL,Monroe County,"5,018","36,432",
1101,AL,Montgomery County,"46,315","45,833",
1103,AL,Morgan County,"17,301","49,274",
1105,AL,Perry County,"3,180","26,703",
1107,AL,Pickens County,"4,093","38,379",
1109,AL,Pike County,"8,611","40,680",
1111,AL,Randolph County,"3,771","41,112",
1113,AL,Russell County,"13,078","36,186",
1115,AL,St. Clair County,"11,644","52,755",
1117,AL,Shelby County,"15,585","74,098",
1119,AL,Sumter County,"4,238","26,495",
1121,AL,Talladega County,"14,062","41,733",
1123,AL,Tallapoosa County,"7,311","44,469",
1125,AL,Tuscaloosa County,"31,238","51,644",
1127,AL,Walker County,"10,975","41,925",
1129,AL,Washington County,"3,303","44,249",
1131,AL,Wilcox County,"3,392","25,700",
1133,AL,Winston County,"4,980","38,562",
2000,AK,Alaska,"79,428","74,058",15.8
2013,AK,Aleutians East Borough,491,"69,375",
2016,AK,Aleutians West Census Area,451,"80,290",
2020,AK,Anchorage Borough,"27,663","78,579",
2050,AK,Bethel Census Area,"5,077","45,582",
2060,AK,Bristol Bay Borough,92,"70,094",
2068,AK,Denali Borough,158,"73,220",
2070,AK,Dillingham Census Area,"1,015","52,641",
2090,AK,Fairbanks North Star Borough,"7,051","74,241",
2100,AK,Haines Borough,288,"53,413",
2105,AK,Hoonah-Angoon Census Area,376,"50,573",
2110,AK,Juneau Borough,"2,596","90,436",
2122,AK,Kenai Peninsula Borough,"5,840","63,559",
2130,AK,Ketchikan Gateway Borough,"1,341","71,298",
2150,AK,Kodiak Island Borough,991,"71,118",
2158,AK,Kusilvak Census Area,"3,050","31,250",
2164,AK,Lake and Peninsula Borough,253,"47,644",
2170,AK,Matanuska-Susitna Borough,"11,768","72,296",
2180,AK,Nome Census Area,"2,248","53,877",
2185,AK,North Slope Borough,"1,182","82,736",
2188,AK,Northwest Arctic Borough,"1,974","53,060",
2195,AK,Petersburg Borough,240,"59,176",
2198,AK,Prince of Wales-Hyder Census Area,"1,183","46,488",
2220,AK,Sitka Borough,694,"69,501",
2230,AK,Skagway Municipality,50,"66,991",
2240,AK,Southeast Fairbanks Census Area,872,"59,382",
2261,AK,Valdez-Cordova Census Area,845,"86,196",
2275,AK,Wrangell City and Borough,310,"55,696",
2282,AK,Yakutat Borough,92,"59,955",
2290,AK,Yukon-Koyukuk Census Area,"1,237","37,907",
4000,AZ,Arizona,"1,023,337","56,508",23.4
4001,AZ,Apache County,"23,426","33,053",
4003,AZ,Cochise County,"19,219","48,966",
4005,AZ,Coconino County,"23,946","54,399",
4007,AZ,Gila County,"12,661","38,897",
4009,AZ,Graham County,"7,213","46,378",
4011,AZ,Greenlee County,948,"63,557",
4012,AZ,La Paz County,"4,263","36,389",
4013,AZ,Maricopa County,"570,402","62,221",
4015,AZ,Mohave County,"34,891","42,210",
4017,AZ,Navajo County,"28,216","40,883",
4019,AZ,Pima County,"165,811","51,392",
4021,AZ,Pinal County,"52,566","53,114",
4023,AZ,Santa Cruz County,"10,858","39,265",
4025,AZ,Yavapai County,"31,166","49,860",
4027,AZ,Yuma County,"37,751","46,013",
5000,AR,Arkansas,"475,883","45,916",24.8
5001,AR,Arkansas County,"3,515","43,752",
5003,AR,Ashley County,"3,980","40,495",
5005,AR,Baxter County,"5,650","43,011",
5007,AR,Benton County,"24,110","64,728",
5009,AR,Boone County,"5,495","41,770",
5011,AR,Bradley County,"2,237","35,950",
5013,AR,Calhoun County,772,"42,484",
5015,AR,Carroll County,"4,523","38,297",
5017,AR,Chicot County,"2,974","31,810",
5019,AR,Clark County,"4,142","40,536",
5021,AR,Clay County,"2,673","35,164",
5023,AR,Cleburne County,"3,852","43,170",
5025,AR,Cleveland County,"1,167","47,812",
5027,AR,Columbia County,"5,512","38,488",
5029,AR,Conway County,"3,543","43,519",
5031,AR,Craighead County,"15,354","49,355",
5033,AR,Crawford County,"10,896","44,850",
5035,AR,Crittenden County,"10,070","39,272",
5037,AR,Cross County,"3,047","41,661",
5039,AR,Dallas County,"1,464","33,739",
5041,AR,Desha County,"3,388","33,228",
5043,AR,Drew County,"3,553","41,339",
5045,AR,Faulkner County,"15,941","51,535",
5047,AR,Franklin County,"3,165","41,140",
5049,AR,Fulton County,"2,442","35,723",
5051,AR,Garland County,"15,384","44,662",
5053,AR,Grant County,"2,185","54,819",
5055,AR,Greene County,"6,559","46,029",
5057,AR,Hempstead County,"5,208","39,505",
5059,AR,Hot Spring County,"5,225","42,329",
5061,AR,Howard County,"2,535","36,744",
5063,AR,Independence County,"5,799","42,332",
5065,AR,Izard County,"2,444","37,958",
5067,AR,Jackson County,"3,292","36,235",
5069,AR,Jefferson County,"14,957","38,677",
5071,AR,Johnson County,"4,758","39,798",
5073,AR,Lafayette County,"1,622","33,378",
5075,AR,Lawrence County,"2,682","40,777",
5077,AR,Lee County,"2,760","28,875",
5079,AR,Lincoln County,"2,302","43,821",
5081,AR,Little River County,"2,076","42,063",
5083,AR,Logan County,"4,340","37,676",
5085,AR,Lonoke County,"8,011","54,378",
5087,AR,Madison County,"2,755","40,568",
5089,AR,Marion County,"2,965","39,539",
5091,AR,Miller County,"8,005","44,325",
5093,AR,Mississippi County,"10,018","39,678",
5095,AR,Monroe County,"1,906","32,427",
5097,AR,Montgomery County,"1,856","35,500",
5099,AR,Nevada County,"1,594","46,687",
5101,AR,Newton County,"1,534","34,036",
5103,AR,Ouachita County,"4,665","39,576",
5105,AR,Perry County,"1,549","44,118",
5107,AR,Phillips County,"7,288","27,663",
5109,AR,Pike County,"1,940","37,493",
5111,AR,Poinsett County,"5,000","39,778",
5113,AR,Polk County,"4,645","35,678",
5115,AR,Pope County,"10,036","45,803",
5117,AR,Prairie County,"1,306","43,139",
5119,AR,Pulaski County,"57,780","52,361",
5121,AR,Randolph County,"3,331","35,989",
5123,AR,St. Francis County,"7,357","31,561",
5125,AR,Saline County,"9,335","61,384",
5127,AR,Scott County,"2,123","33,354",
5129,AR,Searcy County,"1,695","30,640",
5131,AR,Sebastian County,"23,469","44,058",
5133,AR,Sevier County,"3,286","41,649",
5135,AR,Sharp County,"4,098","34,266",
5137,AR,Stone County,"2,617","32,778",
5139,AR,Union County,"6,801","43,827",
5141,AR,Van Buren County,"3,214","36,244",
5143,AR,Washington County,"30,938","50,400",
5145,AR,White County,"11,477","44,088",
5147,AR,Woodruff County,"1,726","32,271",
5149,AR,Yell County,"3,969","40,325",
6000,CA,California,"5,164,169","71,785",18.8
6001,CA,Alameda County,"152,087","95,550",
6003,CA,Alpine County,202,"55,755",
6005,CA,Amador County,"3,762","60,588",
6007,CA,Butte County,"40,728","48,634",
6009,CA,Calaveras County,"5,904","58,536",
6011,CA,Colusa County,"2,633","53,595",
6013,CA,Contra Costa County,"103,883","95,062",
6015,CA,Del Norte County,"6,113","39,996",
6017,CA,El Dorado County,"15,620","78,464",
6019,CA,Fresno County,"205,046","51,452",
6021,CA,Glenn County,"4,111","49,979",
6023,CA,Humboldt County,"26,262","46,123",
6025,CA,Imperial County,"35,830","43,413",
6027,CA,Inyo County,"2,087","53,528",
6029,CA,Kern County,"182,948","49,904",
6031,CA,Kings County,"24,810","55,076",
6033,CA,Lake County,"12,817","45,797",
