FIPS,State,Area_Name,POP_ESTIMATE_2014,HH_income_2014,Unemployment_rate_2014
0.0,US,United States,"318,386,421","53,657",6.2
1000.0,AL,Alabama,"4,842,481","42,917",6.8
1001.0,AL,Autauga County,"54,876","54,366",5.8
1003.0,AL,Baldwin County,"199,189","49,626",6.1
1005.0,AL,Barbour County,"26,758","34,971",10.5
1007.0,AL,Bibb County,"22,541","39,546",7.2
1009.0,AL,Blount County,"57,521","45,567",6.1
1011.0,AL,Bullock County,"10,665","26,580",8.8
1013.0,AL,Butler County,"20,343","32,512",8.6
1015.0,AL,Calhoun County,"115,995","41,123",8.0
1017.0,AL,Chambers County,"33,980","34,116",6.7
1019.0,AL,Cherokee County,"25,902","38,013",5.8
1021.0,AL,Chilton County,"43,769","41,450",6.3
1023.0,AL,Choctaw County,"13,317","35,049",9.0
1025.0,AL,Clarke County,"24,865","36,620",12.2
1027.0,AL,Clay County,"13,440","35,940",7.1
1029.0,AL,Cleburne County,"15,025","40,418",6.6
1031.0,AL,Coffee County,"50,655","46,931",6.6
1033.0,AL,Colbert County,"54,468","43,057",8.3
1035.0,AL,Conecuh County,"12,679","29,101",10.3
1037.0,AL,Coosa County,"11,038","34,679",8.8
1039.0,AL,Covington County,"37,756","36,149",7.8
1041.0,AL,Crenshaw County,"13,859","34,445",6.9
1043.0,AL,Cullman County,"81,067","39,922",6.1
1045.0,AL,Dale County,"49,417","41,940",7.1
1047.0,AL,Dallas County,"41,562","26,602",11.2
1049.0,AL,DeKalb County,"70,999","36,241",6.9
1051.0,AL,Elmore County,"80,568","54,298",5.7
1053.0,AL,Escambia County,"37,738","37,077",8.0
1055.0,AL,Etowah County,"103,407","39,904",7.0
1057.0,AL,Fayette County,"16,768","35,664",7.8
1059.0,AL,Franklin County,"31,561","33,881",7.7
1061.0,AL,Geneva County,"26,597","34,425",6.7
1063.0,AL,Greene County,"8,585","26,504",12.5
1065.0,AL,Hale County,"15,047","33,315",9.9
1067.0,AL,Henry County,"17,082","39,930",7.5
1069.0,AL,Houston County,"104,156","40,124",6.8
1071.0,AL,Jackson County,"52,562","36,923",7.3
1073.0,AL,Jefferson County,"659,918","44,852",6.3
1075.0,AL,Lamar County,"14,067","34,553",7.0
1077.0,AL,Lauderdale County,"93,013","41,324",7.2
1079.0,AL,Lawrence County,"33,448","41,574",8.2
1081.0,AL,Lee County,"154,545","41,256",5.6
1083.0,AL,Limestone County,"90,596","51,175",6.1
1085.0,AL,Lowndes County,"10,498","30,675",12.8
1087.0,AL,Macon County,"19,648","28,518",9.1
1089.0,AL,Madison County,"349,807","58,833",6.2
1091.0,AL,Marengo County,"19,980","32,977",8.0
1093.0,AL,Marion County,"30,202","37,707",7.9
1095.0,AL,Marshall County,"94,277","36,536",6.7
1097.0,AL,Mobile County,"414,590","42,943",7.7
1099.0,AL,Monroe County,"21,927","34,733",11.1
1101.0,AL,Montgomery County,"227,546","43,054",6.9
1103.0,AL,Morgan County,"119,458","45,082",6.6
1105.0,AL,Perry County,"9,804","27,403",12.1
1107.0,AL,Pickens County,"20,283","31,933",8.2
1109.0,AL,Pike County,"33,197","31,844",7.4
1111.0,AL,Randolph County,"22,355","36,939",6.7
1113.0,AL,Russell County,"59,211","35,585",6.5
1115.0,AL,St. Clair County,"85,995","50,571",5.8
1117.0,AL,Shelby County,"206,356","69,432",4.5
1119.0,AL,Sumter County,"13,275","25,413",8.5
1121.0,AL,Talladega County,"81,450","39,999",7.8
1123.0,AL,Tallapoosa County,"40,887","36,779",7.5
1125.0,AL,Tuscaloosa County,"203,097","46,892",5.9
1127.0,AL,Walker County,"65,336","37,245",7.9
1129.0,AL,Washington County,"16,868","41,321",9.6
1131.0,AL,Wilcox County,"10,953","24,035",16.9
1133.0,AL,Winston County,"24,137","35,528",8.6
2000.0,AK,Alaska,"736,307","70,898",6.9
2013.0,AK,Aleutians East Borough,"3,348","55,462",4.5
2016.0,AK,Aleutians West Census Area,"5,822","68,387",4.8
,AK,Anchorage Borough,,"75,200",
,AK,Juneau Borough,,"80,835",
,AK,Sitka Borough,,"65,765",
,AK,Yakutat Borough,,"52,595",
,IL,La Salle County,,"51,205",
,IN,De Kalb County,,"51,911",
,IN,Lagrange County,,"52,003",
,IN,La Porte County,,"46,243",
,LA,La Salle Parish,,"44,139",
,NM,DeBaca County,,"33,789",
,NM,Dona Ana County,,"38,974",
,PA,Mc Kean County,,"44,723",
,,,,,
2050.0,AK,Bethel Census Area,"17,933","45,808",16.1
2060.0,AK,Bristol Bay Borough,949,"75,364",8.0
2068.0,AK,Denali Borough,"1,915","69,692",10.4
2070.0,AK,Dillingham Census Area,"4,983","51,082",10.1
2090.0,AK,Fairbanks North Star Borough,"99,256","67,801",5.8
