FIPS,Area_Name,POP_ESTIMATE_2014
0.0,United States,"318,386,421"
1000.0,Alabama,"4,842,481"
1001.0,Autauga County,"54,876"
1003.0,Baldwin County,"199,189"
1005.0,Barbour County,"26,758"
1007.0,Bibb County,"22,541"
1009.0,Blount County,"57,521"
1011.0,Bullock County,"10,665"
1013.0,Butler County,"20,343"
1015.0,Calhoun County,"115,995"
1017.0,Chambers County,"33,980"
1019.0,Cherokee County,"25,902"
1021.0,Chilton County,"43,769"
1023.0,Choctaw County,"13,317"
1025.0,Clarke County,"24,865"
1027.0,Clay County,"13,440"
1029.0,Cleburne County,"15,025"
1031.0,Coffee County,"50,655"
1033.0,Colbert County,"54,468"
1035.0,Conecuh County,"12,679"
1037.0,Coosa County,"11,038"
1039.0,Covington County,"37,756"
1041.0,Crenshaw County,"13,859"
1043.0,Cullman County,"81,067"
1045.0,Dale County,"49,417"
1047.0,Dallas County,"41,562"
1049.0,DeKalb County,"70,999"
1051.0,Elmore County,"80,568"
1053.0,Escambia County,"37,738"
1055.0,Etowah County,"103,407"
1057.0,Fayette County,"16,768"
1059.0,Franklin County,"31,561"
1061.0,Geneva County,"26,597"
1063.0,Greene County,"8,585"
1065.0,Hale County,"15,047"
1067.0,Henry County,"17,082"
1069.0,Houston County,"104,156"
1071.0,Jackson County,"52,562"
1073.0,Jefferson County,"659,918"
1075.0,Lamar County,"14,067"
1077.0,Lauderdale County,"93,013"
1079.0,Lawrence County,"33,448"
1081.0,Lee County,"154,545"
1083.0,Limestone County,"90,596"
1085.0,Lowndes County,"10,498"
1087.0,Macon County,"19,648"
1089.0,Madison County,"349,807"
1091.0,Marengo County,"19,980"
1093.0,Marion County,"30,202"
1095.0,Marshall County,"94,277"
1097.0,Mobile County,"414,590"
1099.0,Monroe County,"21,927"
1101.0,Montgomery County,"227,546"
1103.0,Morgan County,"119,458"
1105.0,Perry County,"9,804"
1107.0,Pickens County,"20,283"
1109.0,Pike County,"33,197"
1111.0,Randolph County,"22,355"
1113.0,Russell County,"59,211"
1115.0,St. Clair County,"85,995"
1117.0,Shelby County,"206,356"
1119.0,Sumter County,"13,275"
1121.0,Talladega County,"81,450"
1123.0,Tallapoosa County,"40,887"
1125.0,Tuscaloosa County,"203,097"
1127.0,Walker County,"65,336"
1129.0,Washington County,"16,868"
1131.0,Wilcox County,"10,953"
1133.0,Winston County,"24,137"
2000.0,Alaska,"736,307"
2013.0,Aleutians East Borough,"3,348"
2016.0,Aleutians West Census Area,"5,822"
2020.0,Anchorage Municipality,"299,927"
2050.0,Bethel Census Area,"17,933"
2060.0,Bristol Bay Borough,949
2068.0,Denali Borough,"1,915"
2070.0,Dillingham Census Area,"4,983"
2090.0,Fairbanks North Star Borough,"99,256"
2100.0,Haines Borough,"2,555"
2105.0,Hoonah-Angoon Census Area,"2,103"
2110.0,Juneau City and Borough,"32,476"
2122.0,Kenai Peninsula Borough,"57,565"
2130.0,Ketchikan Gateway Borough,"13,801"
2150.0,Kodiak Island Borough,"13,904"
2158.0,Kusilvak Census Area,"8,098"
2164.0,Lake and Peninsula Borough,"1,645"
2170.0,Matanuska-Susitna Borough,"98,104"
2180.0,Nome Census Area,"9,803"
2185.0,North Slope Borough,"9,769"
2188.0,Northwest Arctic Borough,"7,771"
2195.0,Petersburg Borough,"3,265"
2198.0,Prince of Wales-Hyder Census Area,"6,460"
2220.0,Sitka City and Borough,"8,839"
2230.0,Skagway Municipality,"1,053"
2240.0,Southeast Fairbanks Census Area,"6,922"
2261.0,Valdez-Cordova Census Area,"9,475"
2275.0,Wrangell City and Borough,"2,447"
2282.0,Yakutat City and Borough,655
2290.0,Yukon-Koyukuk Census Area,"5,464"
4000.0,Arizona,"6,733,840"
4001.0,Apache County,"71,820"
4003.0,Cochise County,"127,352"
4005.0,Coconino County,"137,583"
4007.0,Gila County,"53,070"
4009.0,Graham County,"38,124"
4011.0,Greenlee County,"9,341"
4012.0,La Paz County,"20,529"
4013.0,Maricopa County,"4,095,508"
4015.0,Mohave County,"203,474"
4017.0,Navajo County,"107,724"
4019.0,Pima County,"1,004,675"
4021.0,Pinal County,"395,915"
4023.0,Santa Cruz County,"46,703"
4025.0,Yavapai County,"217,739"
4027.0,Yuma County,"204,283"
5000.0,Arkansas,"2,967,726"
5001.0,Arkansas County,"18,476"
5003.0,Ashley County,"20,959"
5005.0,Baxter County,"40,884"
5007.0,Benton County,"244,882"
5009.0,Boone County,"37,102"
5011.0,Bradley County,"11,016"
5013.0,Calhoun County,"5,168"
5015.0,Carroll County,"27,735"
5017.0,Chicot County,"11,202"
5019.0,Clark County,"22,565"
5021.0,Clay County,"15,297"
5023.0,Cleburne County,"25,605"
5025.0,Cleveland County,"8,398"
5027.0,Columbia County,"24,046"
5029.0,Conway County,"20,991"
5031.0,Craighead County,"102,661"
5033.0,Crawford County,"61,817"
5035.0,Crittenden County,"49,577"
5037.0,Cross County,"17,183"
5039.0,Dallas County,"7,692"
5041.0,Desha County,"12,270"
5043.0,Drew County,"18,640"
5045.0,Faulkner County,"120,567"
5047.0,Franklin County,"17,820"
5049.0,Fulton County,"12,083"
5051.0,Garland County,"97,754"
5053.0,Grant County,"18,073"
5055.0,Greene County,"43,787"
5057.0,Hempstead County,"22,338"
5059.0,Hot Spring County,"33,400"
5061.0,Howard County,"13,510"
5063.0,Independence County,"37,079"
5065.0,Izard County,"13,553"
5067.0,Jackson County,"17,595"
5069.0,Jefferson County,"72,469"
5071.0,Johnson County,"25,971"
5073.0,Lafayette County,"7,164"
5075.0,Lawrence County,"16,971"
5077.0,Lee County,"9,843"
5079.0,Lincoln County,"14,030"
5081.0,Little River County,"12,524"
5083.0,Logan County,"21,859"
5085.0,Lonoke County,"71,338"
5087.0,Madison County,"15,733"
5089.0,Marion County,"16,420"
5091.0,Miller County,"43,566"
5093.0,Mississippi County,"44,250"
5095.0,Monroe County,"7,635"
5097.0,Montgomery County,"9,158"
5099.0,Nevada County,"8,651"
