State,Area_Name,HH_income_2010,HH_income_2011,HH_income_2012,HH_income_2013,HH_income_2014,HH_income_2015,HH_income_2016,HH_income_2017
US,United States,"50,046","50,502","51,371","52,250","53,657","55,775","57,617","60,336"
AL,Alabama,"40,538","41,427","41,610","42,882","42,917","44,833","46,309","48,193"
AL,Autauga County,"53,049","48,863","51,441","51,868","54,366","56,580","54,487","58,343"
AL,Baldwin County,"47,618","50,144","48,867","47,539","49,626","52,387","56,460","56,607"
AL,Barbour County,"33,074","30,117","30,287","30,981","34,971","31,433","32,884","32,490"
AL,Bibb County,"35,472","37,347","37,392","39,781","39,546","40,767","43,079","45,795"
AL,Blount County,"42,906","41,940","44,225","44,392","45,567","50,487","47,213","48,253"
AL,Bullock County,"25,969","26,038","25,854","25,937","26,580","28,251","34,278","29,113"
AL,Butler County,"29,500","30,489","30,605","31,041","32,512","33,868","35,409","36,842"
AL,Calhoun County,"37,916","39,060","39,212","37,898","41,123","42,091","41,778","45,937"
AL,Chambers County,"30,061","33,500","32,320","33,883","34,116","35,560","39,530","36,883"
AL,Cherokee County,"34,410","34,738","37,868","37,478","38,013","39,144","41,456","44,842"
AL,Chilton County,"38,553","38,833","39,621","41,348","41,450","42,767","44,188","46,405"
AL,Choctaw County,"32,003","32,940","33,390","33,581","35,049","35,089","32,691","36,711"
AL,Clarke County,"33,739","32,642","34,606","34,593","36,620","37,317","34,061","36,719"
AL,Clay County,"33,035","32,454","34,579","33,344","35,940","38,908","38,512","39,642"
AL,Cleburne County,"37,566","39,153","38,235","40,407","40,418","42,136","43,483","45,480"
AL,Coffee County,"40,779","42,173","45,631","44,666","46,931","46,858","48,632","51,998"
AL,Colbert County,"37,455","37,269","39,771","40,032","43,057","41,171","46,572","46,100"
AL,Conecuh County,"27,855","26,914","27,110","27,196","29,101","29,981","29,758","30,796"
AL,Coosa County,"33,721","34,391","32,960","35,175","34,679","36,078","36,441","42,442"
AL,Covington County,"33,484","32,138","34,017","35,187","36,149","36,355","35,010","39,093"
AL,Crenshaw County,"35,577","34,534","33,648","34,105","34,445","36,759","37,374","38,419"
AL,Cullman County,"37,948","39,395","37,938","40,142","39,922","39,290","41,543","45,925"
AL,Dale County,"41,287","41,568","40,125","41,805","41,940","45,294","40,523","42,572"
AL,Dallas County,"26,195","25,859","27,400","27,524","26,602","29,682","30,488","31,329"
AL,DeKalb County,"34,822","35,487","37,644","36,713","36,241","37,305","37,128","39,906"
AL,Elmore County,"51,013","54,866","52,324","51,650","54,298","53,548","54,553","59,652"
AL,Escambia County,"31,365","32,838","33,588","33,455","37,077","36,840","35,096","37,870"
AL,Etowah County,"36,088","34,927","35,737","38,587","39,904","42,145","40,972","41,791"
AL,Fayette County,"32,643","32,648","35,720","35,661","35,664","37,085","38,403","39,394"
AL,Franklin County,"33,649","33,705","33,173","33,332","33,881","38,535","37,049","41,025"
AL,Geneva County,"34,418","33,835","33,347","35,378","34,425","36,289","36,976","38,561"
AL,Greene County,"27,117","24,738","24,592","25,864","26,504","25,398","26,559","28,108"
AL,Hale County,"31,790","31,044","31,025","33,597","33,315","35,470","35,381","34,905"
AL,Henry County,"37,851","39,788","37,108","41,590","39,930","42,501","41,426","48,094"
AL,Houston County,"39,290","40,428","40,609","39,636","40,124","43,568","42,910","44,753"
