State FIPS,County FIPS,Postal,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
00,000,US,United States,"48,452,035","48,217,869","48,686,201",15.9,15.8,16.0,"16,386,500","16,262,247","16,510,753",22.5,22.3,22.7,"10,976,987","10,882,675","11,071,299",20.8,20.6,21.0,"50,502","50,429","50,575","5,110,087","5,061,357","5,158,817",25.8,25.6,26.0
01,000,AL,Alabama,"896,117","879,174","913,060",19.1,18.7,19.5,"307,310","298,317","316,303",27.6,26.8,28.4,"209,724","201,714","217,734",25.8,24.8,26.8,"41,427","40,894","41,960","94,184","89,925","98,443",31.5,30.1,32.9
01,001,AL,Autauga County,"8,152","6,836","9,468",14.9,12.5,17.3,"2,999","2,470","3,528",21.0,17.3,24.7,"2,075","1,677","2,473",19.4,15.7,23.1,"48,863","44,355","53,371",,,,,,
01,003,AL,Baldwin County,"24,728","20,610","28,846",13.4,11.2,15.6,"8,611","6,906","10,316",20.5,16.4,24.6,"5,842","4,578","7,106",18.9,14.8,23.0,"50,144","46,554","53,734",,,,,,
01,005,AL,Barbour County,"7,051","5,884","8,218",29.5,24.6,34.4,"2,330","1,932","2,728",39.8,33.0,46.6,"1,558","1,266","1,850",37.2,30.2,44.2,"30,117","27,484","32,750",,,,,,
01,007,AL,Bibb County,"4,562","3,600","5,524",22.2,17.5,26.9,"1,499","1,194","1,804",30.5,24.3,36.7,"1,027",810,"1,244",28.2,22.2,34.2,"37,347","33,774","40,920",,,,,,
01,009,AL,Blount County,"8,505","6,764","10,246",14.9,11.9,17.9,"3,094","2,403","3,785",22.2,17.2,27.2,"2,211","1,684","2,738",21.3,16.2,26.4,"41,940","38,358","45,522",,,,,,
01,011,AL,Bullock County,"2,909","2,221","3,597",32.8,25.1,40.5,937,713,"1,161",41.1,31.3,50.9,632,472,792,40.7,30.4,51.0,"26,038","23,340","28,736",,,,,,
01,013,AL,Butler County,"4,902","4,037","5,767",24.1,19.8,28.4,"1,726","1,371","2,081",35.7,28.4,43.0,"1,178",909,"1,447",33.7,26.0,41.4,"30,489","27,969","33,009",,,,,,
01,015,AL,Calhoun County,"23,974","20,930","27,018",20.9,18.2,23.6,"8,419","7,162","9,676",31.8,27.0,36.6,"6,020","5,143","6,897",31.1,26.6,35.6,"39,060","36,668","41,452",,,,,,
01,017,AL,Chambers County,"7,923","6,675","9,171",23.7,20.0,27.4,"2,912","2,451","3,373",39.1,32.9,45.3,"2,095","1,766","2,424",37.8,31.9,43.7,"33,500","30,578","36,422",,,,,,
01,019,AL,Cherokee County,"6,127","5,092","7,162",23.8,19.8,27.8,"1,996","1,622","2,370",36.6,29.8,43.4,"1,362","1,085","1,639",32.9,26.2,39.6,"34,738","31,588","37,888",,,,,,
01,021,AL,Chilton County,"7,940","6,305","9,575",18.3,14.5,22.1,"3,048","2,319","3,777",28.4,21.6,35.2,"2,153","1,607","2,699",27.7,20.7,34.7,"38,833","35,803","41,863",,,,,,
01,023,AL,Choctaw County,"3,677","3,118","4,236",27.3,23.1,31.5,"1,072",883,"1,261",35.9,29.6,42.2,778,646,910,34.0,28.2,39.8,"32,940","29,694","36,186",,,,,,
01,025,AL,Clarke County,"6,686","5,662","7,710",26.3,22.3,30.3,"2,184","1,798","2,570",35.2,29.0,41.4,"1,462","1,166","1,758",30.6,24.4,36.8,"32,642","29,383","35,901",,,,,,
01,027,AL,Clay County,"2,545","1,973","3,117",18.7,14.5,22.9,874,667,"1,081",28.5,21.7,35.3,601,450,752,26.2,19.6,32.8,"32,454","29,341","35,567",,,,,,
01,029,AL,Cleburne County,"2,509","1,920","3,098",17.2,13.2,21.2,887,678,"1,096",25.9,19.8,32.0,620,466,774,24.4,18.3,30.5,"39,153","35,364","42,942",,,,,,
01,031,AL,Coffee County,"8,447","7,202","9,692",16.9,14.4,19.4,"2,897","2,405","3,389",24.0,19.9,28.1,"2,073","1,703","2,443",23.8,19.6,28.0,"42,173","39,230","45,116",,,,,,
01,033,AL,Colbert County,"10,098","8,509","11,687",18.7,15.8,21.6,"3,354","2,730","3,978",28.4,23.1,33.7,"2,273","1,816","2,730",26.0,20.8,31.2,"37,269","34,117","40,421",,,,,,
01,035,AL,Conecuh County,"3,635","2,939","4,331",27.9,22.6,33.2,"1,171",903,"1,439",40.3,31.1,49.5,819,619,"1,019",38.1,28.8,47.4,"26,914","24,129","29,699",,,,,,
01,037,AL,Coosa County,"2,700","2,289","3,111",25.5,21.6,29.4,793,647,939,35.6,29.0,42.2,530,420,640,31.2,24.7,37.7,"34,391","31,142","37,640",,,,,,
01,039,AL,Covington County,"9,074","7,812","10,336",24.2,20.8,27.6,"2,883","2,383","3,383",34.2,28.3,40.1,"2,149","1,783","2,515",34.6,28.7,40.5,"32,138","29,735","34,541",,,,,,
01,041,AL,Crenshaw County,"2,500","1,886","3,114",18.2,13.7,22.7,906,684,"1,128",27.9,21.1,34.7,629,468,790,26.4,19.6,33.2,"34,534","31,261","37,807",,,,,,
01,043,AL,Cullman County,"14,455","12,204","16,706",18.2,15.4,21.0,"5,070","4,170","5,970",27.9,22.9,32.9,"3,664","3,015","4,313",27.6,22.7,32.5,"39,395","36,063","42,727",,,,,,
01,045,AL,Dale County,"9,198","7,491","10,905",18.8,15.3,22.3,"3,342","2,646","4,038",27.5,21.8,33.2,"2,227","1,725","2,729",25.9,20.1,31.7,"41,568","37,700","45,436",,,,,,
01,047,AL,Dallas County,"15,303","13,310","17,296",35.7,31.0,40.4,"5,626","4,826","6,426",49.9,42.8,57.0,"3,583","2,895","4,271",44.2,35.7,52.7,"25,859","23,718","28,000",,,,,,
01,049,AL,DeKalb County,"14,331","11,742","16,920",20.3,16.6,24.0,"5,337","4,188","6,486",29.5,23.1,35.9,"3,835","2,976","4,694",29.2,22.7,35.7,"35,487","33,112","37,862",,,,,,
01,051,AL,Elmore County,"10,299","8,444","12,154",13.8,11.3,16.3,"3,796","3,033","4,559",20.7,16.5,24.9,"2,612","2,038","3,186",19.3,15.1,23.5,"54,866","51,620","58,112",,,,,,
01,053,AL,Escambia County,"8,893","7,427","10,359",25.5,21.3,29.7,"2,691","2,131","3,251",31.5,24.9,38.1,"1,823","1,412","2,234",29.4,22.8,36.0,"32,838","29,935","35,741",,,,,,
01,055,AL,Etowah County,"21,426","19,142","23,710",21.0,18.8,23.2,"7,144","6,085","8,203",30.4,25.9,34.9,"5,160","4,378","5,942",29.8,25.3,34.3,"34,927","32,423","37,431",,,,,,
01,057,AL,Fayette County,"3,815","3,068","4,562",22.5,18.1,26.9,"1,218",968,"1,468",32.9,26.2,39.6,826,638,"1,014",30.2,23.3,37.1,"32,648","29,767","35,529",,,,,,
01,059,AL,Franklin County,"6,292","4,889","7,695",19.9,15.5,24.3,"2,518","1,922","3,114",32.5,24.8,40.2,"1,696","1,262","2,130",30.7,22.8,38.6,"33,705","30,641","36,769",,,,,,
01,061,AL,Geneva County,"6,475","5,403","7,547",24.4,20.4,28.4,"2,475","2,078","2,872",42.3,35.5,49.1,"1,640","1,335","1,945",38.1,31.0,45.2,"33,835","30,606","37,064",,,,,,
01,063,AL,Greene County,"3,115","2,491","3,739",35.1,28.1,42.1,"1,012",805,"1,219",47.3,37.6,57.0,687,537,837,43.2,33.8,52.6,"24,738","22,244","27,232",,,,,,
01,065,AL,Hale County,"4,306","3,556","5,056",28.5,23.5,33.5,"1,515","1,239","1,791",41.0,33.5,48.5,"1,041",848,"1,234",37.4,30.5,44.3,"31,044","28,366","33,722",,,,,,
01,067,AL,Henry County,"3,207","2,522","3,892",18.7,14.7,22.7,"1,131",866,"1,396",29.2,22.4,36.0,769,578,960,26.5,19.9,33.1,"39,788","36,506","43,070",,,,,,
01,069,AL,Houston County,"17,697","16,026","19,368",17.5,15.8,19.2,"7,173","6,275","8,071",29.2,25.5,32.9,"5,029","4,333","5,725",28.1,24.2,32.0,"40,428","38,492","42,364",,,,,,
01,071,AL,Jackson County,"9,423","7,836","11,010",17.9,14.9,20.9,"2,920","2,295","3,545",25.1,19.7,30.5,"2,046","1,572","2,520",23.5,18.1,28.9,"36,746","34,383","39,109",,,,,,
01,073,AL,Jefferson County,"120,760","112,455","129,065",18.7,17.4,20.0,"41,570","37,474","45,666",27.2,24.5,29.9,"28,943","25,858","32,028",26.6,23.8,29.4,"42,053","41,075","43,031",,,,,,
01,075,AL,Lamar County,"3,109","2,472","3,746",22.1,17.6,26.6,988,769,"1,207",31.4,24.4,38.4,673,513,833,28.6,21.8,35.4,"34,731","31,365","38,097",,,,,,
01,077,AL,Lauderdale County,"14,889","12,256","17,522",16.4,13.5,19.3,"4,704","3,673","5,735",24.0,18.7,29.3,"3,116","2,339","3,893",21.6,16.2,27.0,"40,195","37,535","42,855",,,,,,
01,079,AL,Lawrence County,"6,073","4,875","7,271",18.0,14.5,21.5,"2,089","1,669","2,509",27.1,21.6,32.6,"1,428","1,112","1,744",25.1,19.5,30.7,"38,132","34,830","41,434",,,,,,
01,081,AL,Lee County,"29,809","26,272","33,346",21.4,18.9,23.9,"6,432","5,030","7,834",20.7,16.2,25.2,"4,355","3,309","5,401",19.3,14.7,23.9,"42,539","40,406","44,672",,,,,,
01,083,AL,Limestone County,"11,439","9,517","13,361",13.9,11.6,16.2,"4,213","3,449","4,977",21.1,17.3,24.9,"2,803","2,206","3,400",19.3,15.2,23.4,"46,760","44,876","48,644",,,,,,
01,085,AL,Lowndes County,"2,995","2,381","3,609",27.1,21.5,32.7,"1,074",820,"1,328",39.9,30.5,49.3,738,554,922,38.0,28.5,47.5,"28,043","25,360","30,726",,,,,,
01,087,AL,Macon County,"5,997","4,687","7,307",30.9,24.1,37.7,"1,741","1,341","2,141",43.0,33.1,52.9,"1,168",874,"1,462",39.2,29.3,49.1,"27,591","25,215","29,967",,,,,,
01,089,AL,Madison County,"45,732","40,759","50,705",13.8,12.3,15.3,"15,576","13,365","17,787",19.8,17.0,22.6,"10,581","8,893","12,269",18.3,15.4,21.2,"55,298","52,345","58,251",,,,,,
01,091,AL,Marengo County,"5,018","3,935","6,101",24.6,19.3,29.9,"1,673","1,293","2,053",33.9,26.2,41.6,"1,139",866,"1,412",30.8,23.4,38.2,"31,995","28,795","35,195",,,,,,
01,093,AL,Marion County,"7,615","6,492","8,738",25.6,21.8,29.4,"2,166","1,738","2,594",33.2,26.6,39.8,"1,453","1,123","1,783",29.9,23.1,36.7,"30,926","27,950","33,902",,,,,,
01,095,AL,Marshall County,"17,719","15,173","20,265",19.1,16.4,21.8,"6,470","5,378","7,562",27.9,23.2,32.6,"4,537","3,698","5,376",27.2,22.2,32.2,"38,876","36,556","41,196",,,,,,
01,097,AL,Mobile County,"80,070","72,897","87,243",19.7,17.9,21.5,"30,333","26,863","33,803",29.9,26.5,33.3,"20,251","17,507","22,995",27.7,24.0,31.4,"41,867","40,209","43,525",,,,,,
01,099,AL,Monroe County,"6,462","5,433","7,491",28.7,24.1,33.3,"2,343","1,942","2,744",41.6,34.5,48.7,"1,633","1,338","1,928",38.3,31.4,45.2,"31,072","28,175","33,969",,,,,,
01,101,AL,Montgomery County,"51,765","46,103","57,427",23.2,20.7,25.7,"19,250","16,630","21,870",33.9,29.3,38.5,"12,428","10,295","14,561",30.3,25.1,35.5,"42,962","40,715","45,209",,,,,,
01,103,AL,Morgan County,"19,790","16,869","22,711",16.8,14.3,19.3,"7,725","6,485","8,965",27.3,22.9,31.7,"5,501","4,602","6,400",26.5,22.2,30.8,"43,615","41,546","45,684",,,,,,
01,105,AL,Perry County,"3,177","2,453","3,901",33.0,25.5,40.5,"1,180",896,"1,464",47.3,35.9,58.7,824,613,"1,035",45.0,33.5,56.5,"22,175","19,978","24,372",,,,,,
01,107,AL,Pickens County,"5,039","4,194","5,884",26.5,22.0,31.0,"1,554","1,233","1,875",35.3,28.0,42.6,"1,001",767,"1,235",30.7,23.5,37.9,"31,079","28,060","34,098",,,,,,
01,109,AL,Pike County,"7,936","6,717","9,155",25.6,21.7,29.5,"2,181","1,740","2,622",33.5,26.7,40.3,"1,507","1,182","1,832",32.8,25.7,39.9,"32,345","30,360","34,330",,,,,,
01,111,AL,Randolph County,"4,939","4,022","5,856",22.1,18.0,26.2,"1,654","1,283","2,025",31.2,24.2,38.2,"1,159",884,"1,434",29.0,22.1,35.9,"34,517","31,228","37,806",,,,,,
01,113,AL,Russell County,"10,867","8,788","12,946",20.1,16.2,24.0,"4,042","3,070","5,014",30.2,22.9,37.5,"2,806","2,090","3,522",29.4,21.9,36.9,"32,632","30,089","35,175",,,,,,
01,115,AL,St. Clair County,"14,249","12,155","16,343",17.3,14.8,19.8,"4,963","4,151","5,775",25.2,21.1,29.3,"3,371","2,763","3,979",23.8,19.5,28.1,"48,040","43,833","52,247",,,,,,
01,117,AL,Shelby County,"15,743","12,641","18,845",8.1,6.5,9.7,"5,728","4,437","7,019",11.5,8.9,14.1,"3,609","2,652","4,566",9.8,7.2,12.4,"66,362","63,934","68,790",,,,,,
01,119,AL,Sumter County,"4,997","4,128","5,866",39.1,32.3,45.9,"1,296","1,015","1,577",45.5,35.6,55.4,897,694,"1,100",41.9,32.4,51.4,"23,531","21,224","25,838",,,,,,
01,121,AL,Talladega County,"20,569","18,676","22,462",26.2,23.8,28.6,"6,498","5,668","7,328",35.2,30.7,39.7,"4,039","3,314","4,764",29.6,24.3,34.9,"33,856","31,308","36,404",,,,,,
01,123,AL,Tallapoosa County,"7,725","6,175","9,275",18.8,15.0,22.6,"2,699","2,147","3,251",29.8,23.7,35.9,"1,776","1,359","2,193",27.0,20.7,33.3,"37,686","35,064","40,308",,,,,,
01,125,AL,Tuscaloosa County,"37,718","34,040","41,396",20.2,18.2,22.2,"10,967","9,464","12,470",26.6,23.0,30.2,"7,569","6,391","8,747",25.7,21.7,29.7,"42,086","39,722","44,450",,,,,,
01,127,AL,Walker County,"14,511","12,553","16,469",22.1,19.1,25.1,"4,354","3,636","5,072",29.7,24.8,34.6,"2,805","2,246","3,364",25.9,20.7,31.1,"35,423","33,022","37,824",,,,,,
01,129,AL,Washington County,"3,238","2,536","3,940",18.9,14.8,23.0,"1,171",898,"1,444",27.4,21.0,33.8,729,536,922,22.3,16.4,28.2,"39,203","35,807","42,599",,,,,,
01,131,AL,Wilcox County,"4,536","3,680","5,392",39.9,32.4,47.4,"1,538","1,196","1,880",51.2,39.8,62.6,"1,050",802,"1,298",44.8,34.2,55.4,"20,990","19,276","22,704",,,,,,
01,133,AL,Winston County,"4,754","3,725","5,783",19.8,15.5,24.1,"1,579","1,198","1,960",30.3,23.0,37.6,"1,110",831,"1,389",28.6,21.4,35.8,"31,018","28,288","33,748",,,,,,
02,000,AK,Alaska,"76,021","72,599","79,443",10.8,10.3,11.3,"27,192","25,130","29,254",14.7,13.6,15.8,"17,857","16,000","19,714",13.6,12.2,15.0,"65,699","64,147","67,251","8,473","7,472","9,474",15.8,13.9,17.7
02,013,AK,Aleutians East Borough,562,453,671,17.8,14.4,21.2,63,48,78,17.5,13.3,21.7,41,30,52,16.0,11.8,20.2,"51,289","47,291","55,287",,,,,,
