,FIPS,State,Area_Name,POP_ESTIMATE_2014,HH_income_2014,Unemployment_rate_2014,Alcohol Mortality Rate,Alcohol Mortality Rate(F),Alcohol Mortality Rate(M),Drug Mortality Rate,Drug Mortality Rate(F),Drug Mortality Rate(M),Self-harm Mortality Rate,Self-harm Mortality Rate(F),Self-harm Mortality Rate(M),Int. Violence Mortality Rate,Int. Violence Mortality Rate(F),Int. Violence Mortality Rate(M),Common State Abbreviation,Rural Status Description,HPSA Postal Code,Provider Type,Common County Name,HPSA Degree of Shortage,HPSA Designation Population,HPSA Estimated Served Population,HPSA Score,HPSA Shortage
0,1001.0,AL,Autauga County,"54,876","54,366",5.8,1.45,0.9,2.11,7.32,5.17,9.6,18.19,16.68,19.79,6.31,4.44,8.38,AL,Non-Rural,,Psychiatrist,"Autauga County, AL",Not applicable,138714.0,45800.0,16,6.96
1,1003.0,AL,Baldwin County,"199,189","49,626",6.1,2.53,1.88,3.36,13.3,11.24,15.58,18.51,17.34,19.78,5.27,4.09,6.76,AL,Rural,,Psychiatrist,"Baldwin County, AL",Not applicable,26601.0,6000.0,15,1.03
2,1003.0,AL,Baldwin County,"199,189","49,626",6.1,2.53,1.88,3.36,13.3,11.24,15.58,18.51,17.34,19.78,5.27,4.09,6.76,AL,Non-Rural,,Psychiatrist,"Baldwin County, AL",Not applicable,26601.0,6000.0,15,1.03
3,1003.0,AL,Baldwin County,"199,189","49,626",6.1,2.53,1.88,3.36,13.3,11.24,15.58,18.51,17.34,19.78,5.27,4.09,6.76,AL,Rural,,Psychiatrist,"Baldwin County, AL",Not applicable,26601.0,6000.0,15,1.03
4,1003.0,AL,Baldwin County,"199,189","49,626",6.1,2.53,1.88,3.36,13.3,11.24,15.58,18.51,17.34,19.78,5.27,4.09,6.76,AL,Non-Rural,,Psychiatrist,"Baldwin County, AL",Not applicable,26601.0,6000.0,15,1.03
5,1003.0,AL,Baldwin County,"199,189","49,626",6.1,2.53,1.88,3.36,13.3,11.24,15.58,18.51,17.34,19.78,5.27,4.09,6.76,AL,Rural,,Psychiatrist,"Baldwin County, AL",Not applicable,26601.0,6000.0,15,1.03
6,1003.0,AL,Baldwin County,"199,189","49,626",6.1,2.53,1.88,3.36,13.3,11.24,15.58,18.51,17.34,19.78,5.27,4.09,6.76,AL,Non-Rural,,Psychiatrist,"Baldwin County, AL",Not applicable,26601.0,6000.0,15,1.03
7,1003.0,AL,Baldwin County,"199,189","49,626",6.1,2.53,1.88,3.36,13.3,11.24,15.58,18.51,17.34,19.78,5.27,4.09,6.76,AL,Non-Rural,,Psychiatrist,"Baldwin County, AL",Not applicable,26601.0,6000.0,15,1.03
8,1003.0,AL,Baldwin County,"199,189","49,626",6.1,2.53,1.88,3.36,13.3,11.24,15.58,18.51,17.34,19.78,5.27,4.09,6.76,AL,Rural,,Psychiatrist,"Baldwin County, AL",Not applicable,26601.0,6000.0,15,1.03
9,1003.0,AL,Baldwin County,"199,189","49,626",6.1,2.53,1.88,3.36,13.3,11.24,15.58,18.51,17.34,19.78,5.27,4.09,6.76,AL,Rural,,Psychiatrist,"Baldwin County, AL",Not applicable,26601.0,6000.0,15,1.03
10,1003.0,AL,Baldwin County,"199,189","49,626",6.1,2.53,1.88,3.36,13.3,11.24,15.58,18.51,17.34,19.78,5.27,4.09,6.76,AL,Rural,,Psychiatrist,"Baldwin County, AL",Not applicable,26601.0,6000.0,15,1.03
11,1003.0,AL,Baldwin County,"199,189","49,626",6.1,2.53,1.88,3.36,13.3,11.24,15.58,18.51,17.34,19.78,5.27,4.09,6.76,AL,Rural,,Psychiatrist,"Baldwin County, AL",Not applicable,26601.0,6000.0,15,1.03
12,1003.0,AL,Baldwin County,"199,189","49,626",6.1,2.53,1.88,3.36,13.3,11.24,15.58,18.51,17.34,19.78,5.27,4.09,6.76,AL,Non-Rural,,Psychiatrist,"Baldwin County, AL",Not applicable,26601.0,6000.0,15,1.03
13,1003.0,AL,Baldwin County,"199,189","49,626",6.1,2.53,1.88,3.36,13.3,11.24,15.58,18.51,17.34,19.78,5.27,4.09,6.76,AL,Not Applicable,,Psychiatrist,"Baldwin County, AL",Not applicable,26601.0,6000.0,15,1.03
14,1003.0,AL,Baldwin County,"199,189","49,626",6.1,2.53,1.88,3.36,13.3,11.24,15.58,18.51,17.34,19.78,5.27,4.09,6.76,AL,Rural,,Psychiatrist,"Baldwin County, AL",Not applicable,26601.0,6000.0,15,1.03
15,1003.0,AL,Baldwin County,"199,189","49,626",6.1,2.53,1.88,3.36,13.3,11.24,15.58,18.51,17.34,19.78,5.27,4.09,6.76,AL,Non-Rural,,Psychiatrist,"Baldwin County, AL",Not applicable,26601.0,6000.0,15,1.03
16,1003.0,AL,Baldwin County,"199,189","49,626",6.1,2.53,1.88,3.36,13.3,11.24,15.58,18.51,17.34,19.78,5.27,4.09,6.76,AL,Non-Rural,,Psychiatrist,"Baldwin County, AL",Not applicable,26601.0,6000.0,15,1.03
17,1003.0,AL,Baldwin County,"199,189","49,626",6.1,2.53,1.88,3.36,13.3,11.24,15.58,18.51,17.34,19.78,5.27,4.09,6.76,AL,,,Psychiatrist,"Baldwin County, AL",Not applicable,26601.0,6000.0,15,1.03
18,1003.0,AL,Baldwin County,"199,189","49,626",6.1,2.53,1.88,3.36,13.3,11.24,15.58,18.51,17.34,19.78,5.27,4.09,6.76,AL,Non-Rural,,Psychiatrist,"Baldwin County, AL",Not applicable,26601.0,6000.0,15,1.03
19,1003.0,AL,Baldwin County,"199,189","49,626",6.1,2.53,1.88,3.36,13.3,11.24,15.58,18.51,17.34,19.78,5.27,4.09,6.76,AL,Rural,,Psychiatrist,"Baldwin County, AL",Not applicable,26601.0,6000.0,15,1.03
20,1003.0,AL,Baldwin County,"199,189","49,626",6.1,2.53,1.88,3.36,13.3,11.24,15.58,18.51,17.34,19.78,5.27,4.09,6.76,AL,Non-Rural,,Psychiatrist,"Baldwin County, AL",Not applicable,26601.0,6000.0,15,1.03
23,1003.0,AL,Baldwin County,"199,189","49,626",6.1,2.53,1.88,3.36,13.3,11.24,15.58,18.51,17.34,19.78,5.27,4.09,6.76,AL,Partially Rural,,Psychiatrist,"Baldwin County, AL",Not applicable,188636.0,152600.0,5,4.95
24,1005.0,AL,Barbour County,"26,758","34,971",10.5,2.72,1.89,3.57,5.4,3.35,8.04,16.2,14.3,18.17,10.6,7.95,13.56,AL,Rural,36017-2613,,"Barbour County, AL",12,1861.0,,12,0.93
25,1005.0,AL,Barbour County,"26,758","34,971",10.5,2.72,1.89,3.57,5.4,3.35,8.04,16.2,14.3,18.17,10.6,7.95,13.56,AL,Rural,,Psychiatrist,"Barbour County, AL",Not applicable,92192.0,32800.0,17,4.51
26,1005.0,AL,Barbour County,"26,758","34,971",10.5,2.72,1.89,3.57,5.4,3.35,8.04,16.2,14.3,18.17,10.6,7.95,13.56,AL,Rural,36016,,"Barbour County, AL",12,2237.0,,12,1.12
28,1007.0,AL,Bibb County,"22,541","39,546",7.2,1.22,0.7,1.92,13.03,9.76,17.08,19.95,17.78,22.13,9.11,6.45,12.53,AL,Non-Rural,35034-4040,,"Bibb County, AL",12,2921.0,,12,1.46
29,1007.0,AL,Bibb County,"22,541","39,546",7.2,1.22,0.7,1.92,13.03,9.76,17.08,19.95,17.78,22.13,9.11,6.45,12.53,AL,Non-Rural,,Psychiatrist,"Bibb County, AL",Not applicable,91385.0,4200.0,18,5.88
30,1009.0,AL,Blount County,"57,521","45,567",6.1,1.31,0.77,2.03,14.38,11.55,17.45,19.09,17.42,20.78,6.9,5.09,9.06,AL,Partially Rural,,Psychiatrist,"Blount County, AL",Not applicable,296830.0,62600.0,18,16.66
32,1011.0,AL,Bullock County,"10,665","26,580",8.8,3.05,2.09,4.18,5.63,2.97,9.63,12.01,9.85,14.13,12.0,8.64,16.05,AL,Rural,,Psychiatrist,"Bullock County, AL",Not applicable,59768.0,20000.0,17,2.98
33,1013.0,AL,Butler County,"20,343","32,512",8.6,1.61,1.07,2.28,6.45,3.99,9.53,17.81,15.06,20.6,16.85,12.59,21.08,AL,Rural,,Psychiatrist,"Butler County, AL",Not applicable,121233.0,37000.0,18,6.23
34,1015.0,AL,Calhoun County,"115,995","41,123",8.0,1.5,1.02,2.09,11.51,9.31,14.22,20.16,18.31,21.97,11.61,9.4,14.36,AL,Non-Rural,,Psychiatrist,"Calhoun County, AL",Not applicable,128999.0,101400.0,10,3.07
35,1017.0,AL,Chambers County,"33,980","34,116",6.7,2.35,1.63,3.21,8.65,5.95,11.83,16.69,14.59,18.79,11.04,8.33,14.15,AL,Rural,,Psychiatrist,"Chambers County, AL",Not applicable,272703.0,52600.0,17,15.55
36,1019.0,AL,Cherokee County,"25,902","38,013",5.8,1.33,0.82,1.98,11.15,8.1,14.76,25.9,23.52,28.27,5.75,3.88,7.93,AL,Rural,,Psychiatrist,"Cherokee County, AL",Not applicable,88885.0,9000.0,17,5.48
37,1021.0,AL,Chilton County,"43,769","41,450",6.3,1.15,0.68,1.79,12.96,10.08,16.18,20.21,18.44,21.99,7.2,5.07,9.59,AL,Partially Rural,,Psychiatrist,"Chilton County, AL",Not applicable,246122.0,229200.0,11,4.67
38,1023.0,AL,Choctaw County,"13,317","35,049",9.0,2.15,1.39,3.0,6.68,4.07,10.35,13.05,11.21,15.13,10.0,7.07,13.55,AL,Rural,,Psychiatrist,"Choctaw County, AL",Not applicable,70241.0,0.0,18,4.68
39,1025.0,AL,Clarke County,"24,865","36,620",12.2,2.38,1.69,3.16,5.97,3.76,8.83,14.42,12.71,16.3,8.64,6.35,11.45,AL,Rural,,Psychiatrist,"Clarke County, AL",Not applicable,95939.0,17600.0,18,5.52
