FIPS,State,Area_Name,Unemployment_rate_2014
0,US,United States,6.2
1000,AL,Alabama,6.8
1001,AL,"Autauga County, AL",5.8
1003,AL,"Baldwin County, AL",6.1
1005,AL,"Barbour County, AL",10.5
1007,AL,"Bibb County, AL",7.2
1009,AL,"Blount County, AL",6.1
1011,AL,"Bullock County, AL",8.8
1013,AL,"Butler County, AL",8.6
1015,AL,"Calhoun County, AL",8.0
1017,AL,"Chambers County, AL",6.7
1019,AL,"Cherokee County, AL",5.8
1021,AL,"Chilton County, AL",6.3
1023,AL,"Choctaw County, AL",9.0
1025,AL,"Clarke County, AL",12.2
1027,AL,"Clay County, AL",7.1
1029,AL,"Cleburne County, AL",6.6
1031,AL,"Coffee County, AL",6.6
1033,AL,"Colbert County, AL",8.3
1035,AL,"Conecuh County, AL",10.3
1037,AL,"Coosa County, AL",8.8
1039,AL,"Covington County, AL",7.8
1041,AL,"Crenshaw County, AL",6.9
1043,AL,"Cullman County, AL",6.1
1045,AL,"Dale County, AL",7.1
1047,AL,"Dallas County, AL",11.2
1049,AL,"DeKalb County, AL",6.9
1051,AL,"Elmore County, AL",5.7
1053,AL,"Escambia County, AL",8.0
1055,AL,"Etowah County, AL",7.0
1057,AL,"Fayette County, AL",7.8
1059,AL,"Franklin County, AL",7.7
1061,AL,"Geneva County, AL",6.7
1063,AL,"Greene County, AL",12.5
1065,AL,"Hale County, AL",9.9
1067,AL,"Henry County, AL",7.5
1069,AL,"Houston County, AL",6.8
1071,AL,"Jackson County, AL",7.3
1073,AL,"Jefferson County, AL",6.3
1075,AL,"Lamar County, AL",7.0
1077,AL,"Lauderdale County, AL",7.2
1079,AL,"Lawrence County, AL",8.2
1081,AL,"Lee County, AL",5.6
1083,AL,"Limestone County, AL",6.1
1085,AL,"Lowndes County, AL",12.8
1087,AL,"Macon County, AL",9.1
1089,AL,"Madison County, AL",6.2
1091,AL,"Marengo County, AL",8.0
1093,AL,"Marion County, AL",7.9
1095,AL,"Marshall County, AL",6.7
1097,AL,"Mobile County, AL",7.7
1099,AL,"Monroe County, AL",11.1
1101,AL,"Montgomery County, AL",6.9
1103,AL,"Morgan County, AL",6.6
1105,AL,"Perry County, AL",12.1
1107,AL,"Pickens County, AL",8.2
1109,AL,"Pike County, AL",7.4
1111,AL,"Randolph County, AL",6.7
1113,AL,"Russell County, AL",6.5
1115,AL,"St. Clair County, AL",5.8
1117,AL,"Shelby County, AL",4.5
1119,AL,"Sumter County, AL",8.5
1121,AL,"Talladega County, AL",7.8
1123,AL,"Tallapoosa County, AL",7.5
1125,AL,"Tuscaloosa County, AL",5.9
1127,AL,"Walker County, AL",7.9
1129,AL,"Washington County, AL",9.6
1131,AL,"Wilcox County, AL",16.9
1133,AL,"Winston County, AL",8.6
2000,AK,Alaska,6.9
2013,AK,"Aleutians East Borough, AK",4.5
2016,AK,"Aleutians West Census Area, AK",4.8
2020,AK,"Anchorage Borough/municipality, AK",5.2
2050,AK,"Bethel Census Area, AK",16.1
2060,AK,"Bristol Bay Borough, AK",8.0
2068,AK,"Denali Borough, AK",10.4
2070,AK,"Dillingham Census Area, AK",10.1
2090,AK,"Fairbanks North Star Borough, AK",5.8
2100,AK,"Haines Borough, AK",10.7
2105,AK,"Hoonah-Angoon Census Area, AK",15.2
2110,AK,"Juneau Borough/city, AK",5.1
2122,AK,"Kenai Peninsula Borough, AK",7.9
2130,AK,"Ketchikan Gateway Borough, AK",7.9
2150,AK,"Kodiak Island Borough, AK",5.7
2158,AK,"Kusilvak Census Area, AK",23.8
2164,AK,"Lake and Peninsula Borough, AK",16.3
2170,AK,"Matanuska-Susitna Borough, AK",8.1
2180,AK,"Nome Census Area, AK",12.3
2185,AK,"North Slope Borough, AK",6.0
2188,AK,"Northwest Arctic Borough, AK",17.0
2195,AK,"Petersburg Borough, AK",9.5
2198,AK,"Prince of Wales-Hyder Census Area, AK",13.4
2201,AK,"Prince of Wales-Outer Ketchikan Census Area, AK",
2220,AK,"Sitka Borough/city, AK",5.1
2230,AK,"Skagway Municipality, AK",11.9
2232,AK,"Skagway-Hoonah-Angoon Census Area, AK",
2240,AK,"Southeast Fairbanks Census Area, AK",13.2
2261,AK,"Valdez-Cordova Census Area, AK",9.6
2275,AK,"Wrangell Borough/city, AK",8.4
2280,AK,"Wrangell-Petersburg Census Area, AK",
2282,AK,"Yakutat Borough/city, AK",9.9
2290,AK,"Yukon-Koyukuk Census Area, AK",19.0
4000,AZ,Arizona,6.8
4001,AZ,"Apache County, AZ",15.7
4003,AZ,"Cochise County, AZ",8.4
4005,AZ,"Coconino County, AZ",7.1
4007,AZ,"Gila County, AZ",8.3
4009,AZ,"Graham County, AZ",7.4
4011,AZ,"Greenlee County, AZ",6.5
4012,AZ,"La Paz County, AZ",7.6
4013,AZ,"Maricopa County, AZ",5.8
4015,AZ,"Mohave County, AZ",8.7
4017,AZ,"Navajo County, AZ",11.1
4019,AZ,"Pima County, AZ",6.0
4021,AZ,"Pinal County, AZ",7.0
4023,AZ,"Santa Cruz County, AZ",12.9
4025,AZ,"Yavapai County, AZ",6.4
4027,AZ,"Yuma County, AZ",22.9
5000,AR,Arkansas,6.0
5001,AR,"Arkansas County, AR",5.4
5003,AR,"Ashley County, AR",9.3
5005,AR,"Baxter County, AR",6.7
5007,AR,"Benton County, AR",4.6
5009,AR,"Boone County, AR",6.0
5011,AR,"Bradley County, AR",8.4
5013,AR,"Calhoun County, AR",6.6
5015,AR,"Carroll County, AR",5.2
5017,AR,"Chicot County, AR",10.5
5019,AR,"Clark County, AR",6.9
5021,AR,"Clay County, AR",7.8
5023,AR,"Cleburne County, AR",8.3
5025,AR,"Cleveland County, AR",6.8
5027,AR,"Columbia County, AR",7.1
5029,AR,"Conway County, AR",7.1
5031,AR,"Craighead County, AR",5.4
5033,AR,"Crawford County, AR",6.0
